Algoritmo(Tamanho(Run));Mov;Comp;Tempo(ms)
QuickSort(100000)(15);1592460;1715960;4
QuickSort(100000)(16);1592460;1715960;4
QuickSort(100000)(17);1592460;1715960;4
QuickSort(100000)(18);1592460;1715960;4
QuickSort(100000)(19);1592460;1715960;4
QuickSort(100000)(20);1592460;1715960;4
QuickSort(100000)(21);1592460;1715960;4
QuickSort(100000)(22);1592460;1715960;4
QuickSort(100000)(23);1592460;1715960;4
QuickSort(100000)(24);1592460;1715960;4
QuickSort(100000)(25);1592460;1715960;4
QuickSort(100000)(26);1592460;1715960;4
QuickSort(100000)(27);1592460;1715960;4
QuickSort(100000)(28);1592460;1715960;4
QuickSort(100000)(29);1592460;1715960;4
QuickSort(100000)(30);1592460;1715960;4
Algoritmo;Tamanho;Comparações Média;Movimentações Média;Tempo Médio(ms)
SelectionSort;100;4950;297;0
InsertionSort;100;2651;2754;0
BubbleSort;100;4949;7668;0
QuickSort;100;740;531;0
SelectionSort;1000;499500;2997;0
InsertionSort;1000;245366;246371;0
BubbleSort;1000;499122;733119;0
QuickSort;1000;10771;7965;0
SelectionSort;10000;49995000;29997;138
InsertionSort;10000;24948742;24958747;9
BubbleSort;10000;49965597;74816247;48
QuickSort;10000;139320;108261;0
SelectionSort;100000;4999950000;299997;13439
InsertionSort;100000;2478286854;2478386858;917
BubbleSort;100000;4999048847;7434560580;11754
QuickSort;100000;1715960;1592460;4
